[2026-08-05 11:49:32] [INFO] =================================================================
[2026-08-05 11:49:32] [INFO] DWP Temp Cleanup - Session: 2026-08-05_11-49-32
[2026-08-05 11:49:32] [INFO] Mode       : LIVE
[2026-08-05 11:49:32] [INFO] Cutoff     : files older than 0 day(s) (before 2026-08-05 11:49:32)
[2026-08-05 11:49:32] [INFO] Targets    : C:\Users\labuser\AppData\Local\Temp, C:\Windows\Temp
[2026-08-05 11:49:34] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-ChocolateyWebFile.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\db32a04bdc2c455597db842defa370a7.ps1
[2026-08-05 11:49:34] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-EnvironmentVariable.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\075f046301bf465fa7a87998eb387d2d.ps1
[2026-08-05 11:49:34] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-EnvironmentVariableNames.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\bc379501b40145de937cbc8f0d0e6711.ps1
[2026-08-05 11:49:34] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-FtpFile.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\718f2e50648947a29e897a9208275d8f.ps1
[2026-08-05 11:49:34] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-OSArchitectureWidth.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\2d92e66a167b4681a46bf94e3e23f2f6.ps1
[2026-08-05 11:49:34] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-PackageParameters.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\17145189df064b87a5b89329605bfeec.ps1
[2026-08-05 11:49:34] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-ToolsLocation.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\94602680d8cb4aec99860286e37a2be8.ps1
[2026-08-05 11:49:34] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-UACEnabled.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\a6975dbf00ab45cfa0d8c3aa2d0e5897.ps1
[2026-08-05 11:49:34] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-UninstallRegistryKey.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\9146c12ea913486d83eca1891e329d03.ps1
[2026-08-05 11:49:34] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-VirusCheckValid.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\84cd4446f78c4363bc1bbd015d0c277b.ps1
[2026-08-05 11:49:34] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-WebFile.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\7490521e145f420fb54db6bbc0fa18ec.ps1
[2026-08-05 11:49:34] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-WebFileName.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\b432d57ec59846a6994e018786395558.ps1
[2026-08-05 11:49:35] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Get-WebHeaders.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\2dcffd9a694e400697e40718c3982cd0.ps1
[2026-08-05 11:49:35] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-BinFile.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\559990d763874b35bb677069b99329bd.ps1
[2026-08-05 11:49:35] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyEnvironmentVariable.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\bc719b9b4bc34ba5b26c18a83a660bf8.ps1
[2026-08-05 11:49:35] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyExplorerMenuItem.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\19d79a39abd64999b2dc31e5925d1e10.ps1
[2026-08-05 11:49:35] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyFileAssociation.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\d1bd8277917e4dfeb00233fab391783a.ps1
[2026-08-05 11:49:35] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyInstallPackage.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\aa09d1d6b1644602bfe3174f8e106879.ps1
[2026-08-05 11:49:35] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyPackage.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\2cdc1ebe14a04e81af77f5211db7b8be.ps1
[2026-08-05 11:49:35] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyPath.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\838d904c7e4849638d1eebb734f389d6.ps1
[2026-08-05 11:49:35] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyPinnedTaskBarItem.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\662f9fb5f71e47d3b98a669313b3e92f.ps1
[2026-08-05 11:49:35] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyPowershellCommand.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\f3fb615d34d449a0850202e6ccb562a0.ps1
[2026-08-05 11:49:35] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyShortcut.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\6115b4526e484da1bce3c9252311f8dd.ps1
[2026-08-05 11:49:35] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyVsixPackage.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\929c25b8862a4fa6bc30f8b1b07c74ff.ps1
[2026-08-05 11:49:35] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-ChocolateyZipPackage.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\5b864980afaf4fd4a34c8920744175df.ps1
[2026-08-05 11:49:35] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Install-Vsix.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\8d0478f3e2ad44deb889364cf8331b11.ps1
[2026-08-05 11:49:35] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Set-EnvironmentVariable.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\57ded71083c84b4fa57b0ade089bf3ae.ps1
[2026-08-05 11:49:35] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Set-PowerShellExitCode.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\59bdefdccc0448458ca11722ca7be82f.ps1
[2026-08-05 11:49:35] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Start-ChocolateyProcessAsAdmin.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\f8f55c51cc2943b19b5be07ea2ca4a5f.ps1
[2026-08-05 11:49:35] [INFO] Moved: C:\Windows\Temp\chocolatey\chocoInstall\tools\chocolateyInstall\helpers\functions\Test-ProcessAdminRights.ps1 -> C:\Users\labuser\AppData\Local\Temp\_CleanupBackup\2026-08-05_11-49-32\2962fcaecda94a9aa28881def2be1706.ps1
